time,source,match_tier,score,title,company,location,description,link
2026-08-29T02:21:08.840347Z,amgen:toxicology,borderline,56,Pathology Sr. Director,Amgen,Washington  District of Columbia  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Pathology Sr. Director What you will do Let’s do this. Let’s change the world. Amgen is seeking a Pathology Senior Director  within the Discovery and Toxicologic Pathology of Translational Safety Regulatory Science function. The role has a focus digital pathology to accelerate the execution of computational pathology workflows inclusive of AI/ML model development discovery programs. Thi,https://careers.amgen.com/en/job/washington-d-c/pathology-sr-director/87/96477788240
2026-08-29T02:21:08.840347Z,amgen:toxicology,strong,131,Scientific Associate Director - Project Toxicologist,Amgen,Washington  District of Columbia  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Scientific Associate Director - Project Toxicologist What you will do Let’s do this. Let’s change the world. In this vital role  you will serve as the key scientific interface between Translational Safety &amp; Risk Sciences (TSRS) and cross-functional project teams from discovery through post-marketing. TSRS is seeking a Scientific Associate Director to serve as a Project Toxicologist and subject matter expert  reporting to a Senior Director Project Team Representative (PTR) Manager. You will be responsible for developing and implementing fit-for-purpose n,https://careers.amgen.com/en/job/washington-d-c/scientific-associate-director-project-toxicologist/87/99510277760
2026-08-29T02:21:08.840347Z,amgen:toxicology,strong,131,Sr. Principal Scientist - Project Toxicologist,Amgen,Washington  District of Columbia  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Sr. Principal Scientist - Project Toxicologist What you will do Let’s do this. Let’s change the world. In this vital role  you will serve as the primary interface between Translational Safety &amp; Risk Sciences (TSRS) and cross‑functional project teams  from early discovery through post-marketing. TSRS at Amgen is seeking a Senior Principal Scientist to serve as a Project Toxicologist and Subject Matter Expert  reporting to a Project Team Representative (PTR) Manager. You will be responsible for developing and implementing fit-for-purpose nonclinical safet,https://careers.amgen.com/en/job/washington-d-c/sr-principal-scientist-project-toxicologist/87/93966677040
2026-08-29T02:21:08.840347Z,amgen:toxicology,borderline,50,Principal Scientist - Clinical Pharmacology Modeling and Simulation,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Principal Scientist - Clinical Pharmacology Modeling and Simulation What you will do Let’s do this. Let’s change the world. In this vital role you will develop and execute integrated clinical pharmacology and model-informed drug development strategies that inform dose and regimen selection  clinical study design  regulatory filings and product labeling. You will work closely with collea,https://careers.amgen.com/en/job/thousand-oaks/principal-scientist-clinical-pharmacology-modeling-and-simulation/87/98097859552
2026-08-29T02:21:08.840347Z,amgen:toxicology,borderline,56,Safety Pharmacology Senior Scientist,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Safety Pharmacology Senior Scientist What you will do Let’s do this. Let’s change the world. In this vital role you will join the Safety Pharmacology Sciences team. The successful candidate will serve as a subject matter expert in nonclinical safety pharmacology  partnering closely with project teams to develop and execute integrated safety pharmacology strategies that support discovery,https://careers.amgen.com/en/job/thousand-oaks/safety-pharmacology-senior-scientist/87/96531511648
2026-08-29T02:21:08.840347Z,amgen:toxicology,borderline,56,Scientific Associate Director - Safety Pharmacology,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Scientific Associate Director – Safety Pharmacology What you will do Let’s do this. Let’s change the world. The Scientific Associate Director will lead safety pharmacology lab-based activities within the Safety Pharmacology Sciences team and contribute directly to the success of Translational Safety &amp; Risk Sciences (TSRS)  the department responsible for nonclinical safety evaluation within Amgen Research. This role reports to the Senior Director of Safety Pharmacology Sciences. This leadership role has multiple components: management of in vitro cardiac,https://careers.amgen.com/en/job/thousand-oaks/scientific-associate-director-safety-pharmacology/87/95310528256
2026-08-29T02:21:08.840347Z,amgen:toxicology,borderline,56,Principal Scientist - Cardiometabolic Disorders,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Principal Scientist – Cardiometabolic Diseases/Obesity Research What you will do Let’s do this. Let’s change the world. In this vital role you will provide scientific leadership for the discovery and preclinical development of next-generation therapeutics for obesity and related cardiometabolic diseases. You will lead the design and execution of translational pharmacology strategies to ,https://careers.amgen.com/en/job/thousand-oaks/principal-scientist-cardiometabolic-disorders/87/98859756560
2026-08-29T02:21:08.840347Z,amgen:toxicology,strong,86,Senior Scientist - Translational Safety & Risk Sciences (TSRS),Amgen,Washington  District of Columbia  United States of America  South San Francisco  California  United States  Cambridge  Massachusetts  Thousand Oaks,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Senior Scientist – Translational Safety &amp; Risk Sciences (TSRS) What you will do Let’s do this. Let’s change the world. In this vital role you will lead efforts to develop and integrate modern data infrastructure  analytics platforms  and visualization capabilities to support New Approach Methodologies (NAMs) and broader translational safety initiatives across the organization. This ,https://careers.amgen.com/en/job/washington-d-c/senior-scientist-translational-safety-and-risk-sciences-tsrs/87/96185582736
2026-08-29T02:21:08.840347Z,amgen:nonclinical development,borderline,50,Process Development Senior Scientist,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Process Development Senior Scientist What you will do Let’s do this. Let’s change the world. In this vital role you will the integrated Pharmaceutical Attribute Sciences (iPAS) department  located in Thousand Oaks  CA. This team plays a crucial role in pivotal phase analytical development  including method development  validation  transfer  process and product development support  and G,https://careers.amgen.com/en/job/thousand-oaks/process-development-senior-scientist/87/96316997104
2026-08-29T02:21:08.840347Z,amgen:nonclinical development,borderline,50,Process Development Sr Principal Scientist,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Process Development Sr Principal Scientist What you will do In this vital role  you will lead a team of analytical scientists responsible for developing  transferring  validating  and implementing analytical methods to support late-phase oligonucleotide programs through commercialization. As the Attribute Sciences Team Lead (ASTL)  you will provide scientific  technical  and strategic l,https://careers.amgen.com/en/job/thousand-oaks/process-development-sr-principal-scientist/87/98391385536
